NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
408,GPA36GT5090-A,,1,56.16,,,,,,,,,,,
409,GPA40GT5090-A,,1,62.52,,,,,,,,,,,
410,GPA44GT5090-A,,1,68.89,,,,,,,,,,,
411,GPA48GT5090-A,,1,75.25,,,,,,,,,,,
412,GPA50GT5090-A,,1,78.44,,,,,,,,,,,
413,GPA60GT5090-A,,1,94.35,,,,,,,,,,,
414,GPA14GT5120-A,,1,21.14,,,,,,,,,,,
415,GPA15GT5120-A,,1,22.73,,,,,,,,,,,
416,GPA16GT5120-A,,1,24.32,,,,,,,,,,,
417,GPA18GT5120-A,,1,27.51,,,,,,,,,,,
418,GPA20GT5120-A,,1,30.69,,,,,,,,,,,
419,GPA22GT5120-A,,1,33.87,,,,,,,,,,,
420,GPA24GT5120-A,,1,37.06,,,,,,,,,,,
421,GPA25GT5120-A,,1,38.65,,,,,,,,,,,
422,GPA26GT5120-A,,1,40.24,,,,,,,,,,,
423,GPA28GT5120-A,,1,43.42,,,,,,,,,,,
424,GPA30GT5120-A,,1,46.61,,,,,,,,,,,
425,GPA32GT5120-A,,1,49.79,,,,,,,,,,,
426,GPA34GT5120-A,,1,52.97,,,,,,,,,,,
427,GPA36GT5120-A,,1,56.16,,,,,,,,,,,
428,GPA40GT5120-A,,1,62.52,,,,,,,,,,,
429,GPA44GT5120-A,,1,68.89,,,,,,,,,,,
430,GPA48GT5120-A,,1,75.25,,,,,,,,,,,
431,GPA50GT5120-A,,1,78.44,,,,,,,,,,,
432,GPA60GT5120-A,,1,94.35,,,,,,,,,,,
433,GPA14GT5150-A,,1,21.14,,,,,,,,,,,
434,GPA15GT5150-A,,1,22.73,,,,,,,,,,,
435,GPA16GT5150-A,,1,24.32,,,,,,,,,,,
436,GPA18GT5150-A,,1,27.51,,,,,,,,,,,
437,GPA20GT5150-A,,1,30.69,,,,,,,,,,,
438,GPA22GT5150-A,,1,33.87,,,,,,,,,,,
439,GPA24GT5150-A,,1,37.06,,,,,,,,,,,
440,GPA25GT5150-A,,1,38.65,,,,,,,,,,,
441,GPA26GT5150-A,,1,40.24,,,,,,,,,,,
442,GPA28GT5150-A,,1,43.42,,,,,,,,,,,
