NO,TYPE,DEFINE1,DEFINE2
885,GPA26YU8150-B,,
886,GPA28YU8150-B,,
887,GPA30YU8150-B,,
888,GPA32YU8150-B,,
889,GPA34YU8150-B,,
890,GPA36YU8150-B,,
891,GPA38YU8150-B,,
892,GPA40YU8150-B,,
893,GPA44YU8150-B,,
894,GPA48YU8150-B,,
895,GPA50YU8150-B,,
896,GPA60YU8150-B,,
897,GPA20YU8200-B,,
898,GPA22YU8200-B,,
899,GPA24YU8200-B,,
900,GPA25YU8200-B,,
901,GPA26YU8200-B,,
902,GPA28YU8200-B,,
903,GPA30YU8200-B,,
904,GPA32YU8200-B,,
905,GPA34YU8200-B,,
906,GPA36YU8200-B,,
907,GPA38YU8200-B,,
908,GPA40YU8200-B,,
909,GPA44YU8200-B,,
910,GPA48YU8200-B,,
911,GPA50YU8200-B,,
912,GPA60YU8200-B,,
913,GPA20YU8250-B,,
914,GPA22YU8250-B,,
915,GPA24YU8250-B,,
916,GPA25YU8250-B,,
917,GPA26YU8250-B,,
918,GPA28YU8250-B,,
919,GPA30YU8250-B,,
920,GPA32YU8250-B,,
921,GPA34YU8250-B,,
922,GPA36YU8250-B,,
923,GPA38YU8250-B,,
924,GPA40YU8250-B,,
